Thanuja Hotel and Bakers,6.950965,79.917863,Bakery,Food,4,2,Professional
St. Anne's Church,6.950146,79.912686,Church,Professional & Other Places,24,8,Residential
Kelaniya bus stand,6.95303,79.917376,Bus Station,Travel & Transport,19,12,Transportation
Buddhist Book Center Kelaniya Rajamaha Viharaya,6.951553,79.917939,Bookstore,Shop & Service,8,5,Commercial & Mercantile
Kalaniya Bus Stand,6.953477,79.918961,Bus Station,Travel & Transport,495,48,Transportation
Vintage Teas Ceylon (Pvt) Ltd,6.946209,79.931526,Office,Professional & Other Places,16,3,Professional
Water World,6.94449,79.942403,Aquarium,Arts & Entertainment,255,225,Recreation
Fonterra Brands Lanka,6.947256,79.991975,Office,Professional & Other Places,884,128,Professional
Biyagama,6.947906,79.991287,Bus Station,Travel & Transport,200,107,Transportation
MAS Active - NVS,6.95314,80.003809,Coworking Space,Professional & Other Places,39,4,Professional
MAS Active Linea Intimo,6.954329,80.009842,Factory,Professional & Other Places,79,27,Professional
Malwana Town,6.948071,80.015389,Road,Travel & Transport,164,17,Transportation
Che adventures,6.950916,80.09953,Campground,Outdoors & Recreation,8,8,Recreation
Hustlers Paintball,6.950947,80.099351,Paintball Field,Outdoors & Recreation,130,119,Recreation
Seethawaka Regions,6.944968,80.197687,Cultural Center,Professional & Other Places,8,7,Professional
Ranmuthu Restuarant,6.947889,80.199409,Café,Food,89,48,Commercial & Mercantile
Cargills Food City,6.950408,80.213616,Convenience Store,Shop & Service,109,69,Commercial & Mercantile
Avissawella Bus Stand,6.951996,80.213175,Bus Station,Travel & Transport,723,325,Transportation
Great Selection,6.9522,80.215065,Clothing Store,Shop & Service,10,4,Commercial & Mercantile
Royal Salon,6.951076,80.213147,Salon / Barbershop,Shop & Service,17,3,Hotels & Restaurants
Standard Chartered Bank,6.936358,79.845318,Bank,Shop & Service,2252,236,Commercial & Mercantile
TAPHOUSE by RnR,6.933702,79.843546,Bar,Nightlife Spot,3378,1387,Hotels & Restaurants
President's Palace,6.934552,79.843245,Building,Professional & Other Places,40,32,Professional
& Co.,6.93396,79.842763,English Restaurant,Food,229,146,Hotels & Restaurants
